"Group","Column No","GroupID"
"08E H","5","{8356BBB8-9295-435D-9DB6-956FF9064C71}"
"08E H","6","{8356BBB8-9295-435D-9DB6-956FF9064C71}"
"08E H","57","{8356BBB8-9295-435D-9DB6-956FF9064C71}"
"08E H","58","{8356BBB8-9295-435D-9DB6-956FF9064C71}"
"08E K","59","{49818351-1062-4548-99F3-E5838996529B}"
"07A K","59","{603A2370-2289-4232-A63C-0A27806DD827}"
"07B J","59","{1ADB409A-4671-4CEF-BB51-583256AA1E23}"
"07C K","59","{727BCADF-DC87-4DC4-9CCC-2265511051FC}"
"07D G","52","{0CDA12DA-C558-4B01-9D6F-693B66FB529F}"
"07D G","17","{0CDA12DA-C558-4B01-9D6F-693B66FB529F}"
"07D G","12","{0CDA12DA-C558-4B01-9D6F-693B66FB529F}"
"07D G","13","{0CDA12DA-C558-4B01-9D6F-693B66FB529F}"
"07D J","59","{BD7CA7DB-32B1-4714-B17B-594ADACFCD03}"
"07E G","52","{CB284129-4013-4C5C-8475-A1B34E341FD6}"
"07E G","17","{CB284129-4013-4C5C-8475-A1B34E341FD6}"
"07E G","12","{CB284129-4013-4C5C-8475-A1B34E341FD6}"
