"Faculty Name","Faculty Code","Teacher Code","Load Limit Min","Load Limit Max","FacultyGuid","TeacherGuid"
"ENGLISH_ENGLISH","ENG","BII","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{41E620C4-B0F1-4079-9A4E-F892B018EACE}"
"ENGLISH_ENGLISH","ENG","CLK","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{A84C5BAB-EA9B-46ED-9C6C-FD899B57BF23}"
"ENGLISH_ENGLISH","ENG","DYL","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{15F3EC69-EA61-49D3-AA8D-75D08BC3E7B8}"
"ENGLISH_ENGLISH","ENG","HIN","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{352C7037-98BA-4002-A0B7-5AFEA9BB8CEC}"
"ENGLISH_ENGLISH","ENG","KEJ","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{5122526C-1FBC-4141-B395-8F9DD9973540}"
"ENGLISH_ENGLISH","ENG","MCI","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{F3C0B9A6-6083-4D8E-B1B8-E1BB0C2D37B3}"
"ENGLISH_ENGLISH","ENG","MMH","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{0B43B9CB-B165-4E07-BF44-4C7DAE17B4B9}"
"ENGLISH_ENGLISH","ENG","OBR","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{43FF0F89-9D3B-484B-ABAC-37167FF34678}"
"ENGLISH_ENGLISH","ENG","PAL","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{6228AD9F-23F9-4C3C-A9EC-A2BB78ADC6A8}"
"ENGLISH_ENGLISH","ENG","RIC","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{4D3E13DC-5D7B-4A9D-BE1D-50E0BD434A8F}"
"ENGLISH_ENGLISH","ENG","VOU","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{D7EB2A28-2089-44B1-B14E-338E0AC487E3}"
"ENGLISH_ENGLISH","ENG","WEO","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{A0F99FC4-5F71-4977-AF50-185CCFDFB1A6}"
"ENGLISH_ENGLISH","ENG","WIL","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{9FE813AC-C499-495A-8B08-7FEE6C0ACC05}"
"HUMANITIES_GEOGRAPHY","GEO","CHA","0","0","{92E6A8C0-2F7F-4E43-88AE-F37072D64C06}","{34596AA2-3C61-4026-BDC8-25610C7649AA}"
"HUMANITIES_GEOGRAPHY","GEO","SMA","0","0","{92E6A8C0-2F7F-4E43-88AE-F37072D64C06}","{154265BE-27BD-455B-9C38-D18B83000A2A}"
"TECHNOLOGY_FOODS","HEC","FIT","0","0","{703F613D-8F39-403A-BBDA-D72CCF187868}","{FE6D7ECB-ED48-4872-8140-4CCE71FAA338}"
"TECHNOLOGY_FOODS","HEC","HOP","0","0","{703F613D-8F39-403A-BBDA-D72CCF187868}","{3FF650E7-1855-4BB3-9A51-05B6326CAE73}"
"TECHNOLOGY_FOODS","HEC","OHA","0","0","{703F613D-8F39-403A-BBDA-D72CCF187868}","{9C24F46D-B4DD-4132-AE3F-D57B95F5B503}"
"HEALTHPED_HHD","HHD","BML","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{806DEB6D-03BE-4619-A0D8-FC88706529B3}"
"HEALTHPED_HHD","HHD","CDS","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{DB00DEA4-0EE4-4B76-BD57-BD2C938F82F3}"
"HEALTHPED_HHD","HHD","CRI","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{528D6872-0302-4ABD-B82F-DD9A31848671}"
"HEALTHPED_HHD","HHD","FIT","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{FE6D7ECB-ED48-4872-8140-4CCE71FAA338}"
"HEALTHPED_HHD","HHD","GIB","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{FD728803-54DE-45AB-9813-96E17E2EF7A6}"
"HEALTHPED_HHD","HHD","HOP","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{3FF650E7-1855-4BB3-9A51-05B6326CAE73}"
"HEALTHPED_HHD","HHD","KNK","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{1F09A348-2416-4056-BD7C-208E535CD227}"
"HEALTHPED_HHD","HHD","MLM","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{D87C6C26-0049-4698-8BCE-D1AC1921CB5E}"
"HEALTHPED_HHD","HHD","MAZ","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{A9B87346-C226-4659-B2FC-9431F72E64AB}"
"HEALTHPED_HHD","HHD","OHA","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{9C24F46D-B4DD-4132-AE3F-D57B95F5B503}"
"HEALTHPED_HHD","HHD","SAN","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{56812F21-6BD0-4521-ADA1-903B05E60ED8}"
"HEALTHPED_HHD","HHD","SMA","0","0","{B35B2C99-72F8-47AE-96D0-D7016803F455}","{154265BE-27BD-455B-9C38-D18B83000A2A}"
"HUMANITIES_HIS","HIS","ALL","0","0","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}","{B779FAD7-B226-4549-97F4-15E6022B2232}"
"HUMANITIES_HIS","HIS","CHA","0","0","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}","{34596AA2-3C61-4026-BDC8-25610C7649AA}"
"HUMANITIES_HIS","HIS","CLK","0","0","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}","{A84C5BAB-EA9B-46ED-9C6C-FD899B57BF23}"
"HUMANITIES_HIS","HIS","KEJ","0","0","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}","{5122526C-1FBC-4141-B395-8F9DD9973540}"
"HUMANITIES_HIS","HIS","MLM","0","0","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}","{D87C6C26-0049-4698-8BCE-D1AC1921CB5E}"
"HUMANITIES_HIS","HIS","MMH","0","0","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}","{0B43B9CB-B165-4E07-BF44-4C7DAE17B4B9}"
"HUMANITIES_HIS","HIS","OBR","0","0","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}","{43FF0F89-9D3B-484B-ABAC-37167FF34678}"
"HUMANITIES_HIS","HIS","SPK","0","0","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}","{D3AAA5AE-0223-4DC2-850A-A4D5FCBC3BDD}"
"HUMANITIES_HIS","HIS","VID","0","0","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}","{87668229-91A8-4FD3-8866-FDA868C85FC0}"
"HUMANITIES_HIS","HIS","YOU","0","0","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}","{1D342E8D-9F31-47BE-983A-84C9C23F0419}"
"HUMANITIES_HUMS YR 7/8","HUM","ALL","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{B779FAD7-B226-4549-97F4-15E6022B2232}"
"HUMANITIES_HUMS YR 7/8","HUM","BAK","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{DDDBF5CC-5130-4439-A610-DB50B6586AFC}"
"HUMANITIES_HUMS YR 7/8","HUM","BML","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{806DEB6D-03BE-4619-A0D8-FC88706529B3}"
"HUMANITIES_HUMS YR 7/8","HUM","CHA","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{34596AA2-3C61-4026-BDC8-25610C7649AA}"
"HUMANITIES_HUMS YR 7/8","HUM","CLK","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{A84C5BAB-EA9B-46ED-9C6C-FD899B57BF23}"
"HUMANITIES_HUMS YR 7/8","HUM","DYL","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{15F3EC69-EA61-49D3-AA8D-75D08BC3E7B8}"
"HUMANITIES_HUMS YR 7/8","HUM","KEJ","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{5122526C-1FBC-4141-B395-8F9DD9973540}"
"HUMANITIES_HUMS YR 7/8","HUM","MAR","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{41B179B0-40FC-4775-892B-160A1B443EFB}"
"HUMANITIES_HUMS YR 7/8","HUM","MLM","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{D87C6C26-0049-4698-8BCE-D1AC1921CB5E}"
"HUMANITIES_HUMS YR 7/8","HUM","MRE","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{FE9412D1-8BB0-4803-9623-B3ED7080EBBE}"
"HUMANITIES_HUMS YR 7/8","HUM","MMH","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{0B43B9CB-B165-4E07-BF44-4C7DAE17B4B9}"
"HUMANITIES_HUMS YR 7/8","HUM","OBR","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{43FF0F89-9D3B-484B-ABAC-37167FF34678}"
"HUMANITIES_HUMS YR 7/8","HUM","SMA","0","0","{600312A5-102A-42C3-A709-D04811ADD8FF}","{154265BE-27BD-455B-9C38-D18B83000A2A}"
